company_ko,company_en,category,country,exchange,input_ticker,yahoo_symbol,currency,as_of_utc,price,previous_close,change,change_percent,day_high,day_low,volume,market_time,shares_outstanding,market_cap_local,market_cap_krw,krw_rate,source,data_status,error
알파벳,Alphabet (Google),플랫폼사,미국,NASDAQ,NASDAQ:GOOG,GOOG,USD,2026-08-18T04:06:44Z,341.45,343.54,-2.090000000000032,-0.6083716597776179,345.05,339.57,12204241.0,2026-08-17T20:00:01Z,12202573129.0,4166568594897.05,6083190148549693.0,1460.0,Yahoo Finance chart + yfinance shares cache,ok,
마이크로소프트,Microsoft,플랫폼사,미국,NASDAQ,NASDAQ:MSFT,MSFT,USD,2026-08-18T04:06:44Z,480.35,495.4,-15.049999999999955,-3.037949132014528,492.66,478.41,28250867.0,2026-08-17T20:00:01Z,7428434704.0,3568248610066.4004,5209642970696945.0,1460.0,Yahoo Finance chart + yfinance shares cache,ok,
로블록스,Roblox,게임사,미국,NYSE,NYSE:RBLX,RBLX,USD,2026-08-18T04:06:44Z,37.93,38.23,-0.29999999999999716,-0.7847240387130472,38.63,37.43,7254817.0,2026-08-17T20:00:02Z,715978745.0,27157073797.85,39649327744861.0,1460.0,Yahoo Finance chart + yfinance shares cache,ok,
일렉트로닉 아츠,Electronic Arts (EA),게임사,미국,NASDAQ,NASDAQ:EA,EA,USD,2026-08-18T04:06:44Z,209.7,0.0,,,209.98,209.7,48430629.0,2026-08-04T20:00:00Z,250751484.0,52582586194.799995,76770575844408.0,1460.0,Yahoo Finance chart + yfinance shares cache,ok,
닌텐도,Nintendo,게임사,일본,TYO,7974:TYO,7974.T,JPY,2026-08-18T04:06:44Z,8752.0,8761.0,-9.0,-0.10272799908686014,8834.0,8540.0,5524500.0,2026-08-18T03:51:37Z,1152828913.0,10089558646576.0,90806027819184.0,9.0,Yahoo Finance chart + yfinance shares cache,ok,
넥슨,Nexon,게임사,일본,TYO,3659:TYO,3659.T,JPY,2026-08-18T04:06:44Z,2984.5,3045.0,-60.5,-1.9868637110016407,3070.0,2947.0,3186100.0,2026-08-18T03:51:42Z,790581908.0,2359491704426.0,21235425339834.0,9.0,Yahoo Finance chart + yfinance shares cache,ok,
캡콤,Capcom,게임사,일본,TYO,9697:TYO,9697.T,JPY,2026-08-18T04:06:44Z,4103.0,4138.0,-35.0,-0.845819236346057,4133.0,4038.0,899300.0,2026-08-18T03:51:43Z,418308843.0,1716321182829.0,15446890645461.0,9.0,Yahoo Finance chart + yfinance shares cache,ok,
감마니아,Gamania,게임사,대만,TPE,6180:TPE,6180.TWO,TWD,2026-08-18T04:06:44Z,40.95,41.15,-0.19999999999999574,-0.4860267314702238,41.25,40.7,159542.0,2026-08-18T03:46:03Z,177954000.0,7287216300.000001,327924733500.00006,45.0,Yahoo Finance chart + yfinance shares cache,ok,
반다이남코,Bandai Namco,게임사,일본,TYO,7832:TYO,7832.T,JPY,2026-08-18T04:06:44Z,5322.0,5332.0,-10.0,-0.18754688672167896,5361.0,5232.0,827800.0,2026-08-18T03:51:20Z,641365963.0,3413349655086.0,30720146895774.0,9.0,Yahoo Finance chart + yfinance shares cache,ok,
스퀘어에닉스,Square Enix,게임사,일본,TYO,9684:TYO,9684.T,JPY,2026-08-18T04:06:44Z,2864.5,2886.0,-21.5,-0.7449757449757399,2885.0,2825.0,385200.0,2026-08-18T03:51:20Z,360618837.0,1032992658586.5,9296933927278.5,9.0,Yahoo Finance chart + yfinance shares cache,ok,
